Query Num	Precision	Recall	F-measure	Average Precision
1	0.068	0.290598	0.110211	0.447092
2	0.027	0.0989011	0.0424195	0.173736
3	0.066	0.170984	0.0952381	0.382104
4	0.095	0.698529	0.167254	0.766756
5	0.102	0.703448	0.178166	0.657389
6	0.122	0.508333	0.196774	0.6822
7	0.071	0.408046	0.120954	0.509023
8	0.022	0.103774	0.0363036	0.187539
9	0.063	0.741176	0.116129	0.650612
10	0.133	0.422222	0.202281	0.853027
11	0.071	0.612069	0.12724	0.557313
12	0.068	0.447368	0.118056	0.486774
13	0.093	0.628378	0.162021	0.852671
14	0.074	0.316239	0.119935	0.414842
15	0.035	0.853659	0.067243	0.264592
16	0.072	0.5	0.125874	0.638932
17	0.082	0.589928	0.143986	0.778575
18	0.046	0.321678	0.0804899	0.372066
19	0.09	0.486486	0.151899	0.713136
20	0.169	0.456757	0.246715	0.938331
21	0.05	0.980392	0.0951475	0.688106
22	0.088	0.460733	0.147775	0.558248
23	0.058	0.574257	0.105359	0.866413
24	0.097	0.266484	0.142229	0.614268
25	0.017	0.73913	0.0332356	0.405093

MAP : 0.578353
